"LA","BK","Bokeo","Province"
"LA","BL","Bolikhamxai [Borikhane]","Province"
"LA","CH","Champasak [Champassak]","Province"
"LA","HO","Houaphan","Province"
"LA","KH","Khammouan","Province"
"LA","LM","Louang Namtha","Province"
"LA","LP","Louangphabang [Louang Prabang)","Province"
"LA","OU","Oudômxai [Oudomsai]","Province"
"LA","PH","Phôngsali [Phong Saly]","Province"
"LA","SL","Salavan [Saravane]","Province"
"LA","SV","Savannakhét","Province"
"LA","VI","Vientiane","Province"
"LA","VT","Vientiane","Prefecture"
"LA","XA","Xaignabouli [Sayaboury]","Province"
"LA","XE","Xékong [Sékong]","Province"
"LA","XI","Xiangkhouang [Xieng Khouang]","Province"
"LA","XS","Xaisômboun","province"
"LB","AK","Aakkâr","Governorate"
"LB","AS","Liban-Nord","Governorate"
"LB","BA","Beyrouth","Governorate"
"LB","BH","Baalbek-Hermel","Governorate"
"LB","BI","El Béqaa","Governorate"
"LB","JA","Liban-Sud","Governorate"
"LB","JL","Mont-Liban","Governorate"
"LB","NA","Nabatîyé","Governorate"
"LC","01","Anse la Raye","District"
"LC","02","Castries","District"
"LC","03","Choiseul","District"
"LC","05","Dennery","District"
"LC","06","Gros Islet","District"
"LC","07","Laborie","District"
"LC","08","Micoud","District"
"LC","10","Soufrière","District"
"LC","11","Vieux Fort","District"
"LC","12","Canaries","District"
"LI","01","Balzers","Commune"
"LI","02","Eschen","Commune"
"LI","03","Gamprin","Commune"
"LI","04","Mauren","Commune"
"LI","05","Planken","Commune"
"LI","06","Ruggell","Commune"
"LI","07","Schaan","Commune"
"LI","08","Schellenberg","Commune"
"LI","09","Triesen","Commune"
"LI","10","Triesenberg","Commune"
"LI","11","Vaduz","Commune"
"LK","1","Basnahira pa?ata","Province"
"LK","11","Colombo","District"
"LK","12","Gampaha","District"
"LK","13","Kalutara","District"
"LK","2","Madhyama pa?ata","Province"
"LK","21","Kandy","District"
"LK","22","Matale","District"
"LK","23","Nuwara Eliya","District"
"LK","3","Daku?u pa?ata","Province"
"LK","31","Galle","District"
"LK","32","Matara","District"
"LK","33","Hambantota","District"
"LK","4","Uturu pa?ata","Province"
"LK","41","Jaffna","District"
"LK","42","Kilinochchi","District"
"LK","43","Mannar","District"
"LK","44","Vavuniya","District"
"LK","45","Mullaittivu","District"
"LK","5","Næ?genahira pa?ata","Province"
"LK","51","Batticaloa","District"
"LK","52","Ampara","District"
"LK","53","Trincomalee","District"
"LK","6","Vayamba pa?ata","Province"
"LK","61","Kurunegala","District"
"LK","62","Puttalam","District"
"LK","7","Uturumæ?da pa?ata","Province"
"LK","71","Anuradhapura","District"
"LK","72","Polonnaruwa","District"
"LK","8","Uva pa?ata","Province"
"LK","81","Badulla","District"
"LK","82","Monaragala","District"
"LK","9","Sabaragamuva pa?ata","Province"
"LK","91","Ratnapura","District"
"LK","92","Kegalla","District"
"LR","BG","Bong","County"
"LR","BM","Bomi","County"
"LR","CM","Grand Cape Mount","County"
"LR","GB","Grand Bassa","County"
"LR","GG","Grand Gedeh","County"
"LR","GK","Grand Kru","County"
"LR","GP","Gbarpolu","County"
"LR","LO","Lofa","County"
"LR","MG","Margibi","County"
"LR","MO","Montserrado","County"
"LR","MY","Maryland","County"
"LR","NI","Nimba","County"
"LR","RG","River Gee","County"
"LR","RI","	River Cess","County"
"LR","SI","Sinoe","County"
"LS","A","Maseru","District"
"LS","B","Butha-Buthe","District"
"LS","C","Leribe","District"
"LS","D","Berea","District"
"LS","E","Mafeteng","District"
"LS","F","Mohale's Hoek","District"
"LS","G","Quthing","District"
"LS","H","Qacha's Nek","District"
"LS","J","Mokhotlong","District"
"LS","K","Thaba-Tseka","District"
"LT","01","Akmene","District municipality"
"LT","02","Alytaus miestas","City municipality"
"LT","03","Alytus","District municipality"
"LT","04","Anykšciai","District municipality"
"LT","05","Birštono","Municipality"
"LT","06","Biržai","District municipality"
"LT","07","Druskininkai","Municipality"
"LT","08","Elektrénai","Municipality"
"LT","09","Ignalina","District municipality"
